Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Silvanigrellaceae	0	0	0	0	0	1.03E-06	1.95E-06	0	5.04E-07	1.22E-06	0	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae
Mariprofundaceae	0	6.68E-07	2.46E-06	1.31E-06	5.77E-06	1.38E-06	4.55E-06	2.59E-06	5.04E-07	3.05E-06	1.69E-07	k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae
Salisaetaceae	0.000192062	0	0	0	0.000474514	0	0.000223229	0.000364623	0	0	0.000124466	k__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Salisaetaceae
Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae
Leptospiraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae
Sphaerochaetaceae	0	0	0	0	4.81E-07	0	0	0	0	0	1.69E-07	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Sphaerochaetaceae
Spirochaetaceae	9.97E-06	1.60E-05	9.84E-06	8.73E-07	2.88E-06	8.62E-06	4.87E-06	1.03E-05	4.53E-06	5.19E-06	1.52E-06	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae
Treponemataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae
Synergistaceae	0	1.34E-06	1.09E-06	0	0	1.55E-05	4.06E-05	1.62E-06	0	0	0	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae
Acholeplasmataceae	5.57E-06	8.01E-06	5.74E-06	3.93E-06	3.85E-06	5.90E-05	5.59E-05	6.43E-05	1.51E-06	2.71E-05	4.09E-05	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae
Entomoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae
Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae
Metamycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;unclassified;o__Mycoplasmoidales;f__Metamycoplasmataceae
Fervidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae
Opitutaceae	0	3.34E-07	0	0	0	0	6.50E-07	0	0	0	1.35E-06	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae
Puniceicoccaceae	0	5.01E-06	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae
Akkermansiaceae	2.93E-06	2.00E-06	5.47E-06	6.55E-06	0.000177882	1.38E-06	3.57E-06	4.20E-06	1.26E-06	6.10E-07	6.76E-07	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae
Verrucomicrobia_subdivision_3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobia_subdivision_3
Verrucomicrobiaceae	2.05E-06	3.00E-06	2.19E-06	1.75E-06	1.92E-06	3.79E-06	1.62E-06	3.56E-06	5.04E-07	0	3.38E-07	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
Candidatus_Babeliaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;unclassified;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae
Candidatus_Chromulinivoraceae	0	0	0	0	0	0	0	0	0	3.05E-07	0	k__Bacteria;unclassified;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Chromulinivoraceae
Candidatus_Chazhemtobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;unclassified;unclassified;unclassified;f__Candidatus_Chazhemtobacteraceae
