name	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23	taxonomy
Sulfurospirillaceae	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01E-06	0	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae
Sulfurovaceae	0	1.70E-05	1.45E-05	0	8.73E-06	1.87E-05	1.48E-05	1.07E-05	3.94E-05	3.02E-06	5.37E-05	1.35E-06	5.92E-06	4.36E-05	4.36E-05	8.50E-06	9.46E-06	1.07E-05	7.51E-05	7.98E-05	2.22E-05	7.76E-06	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae
Thiovulaceae	3.87E-05	3.94E-05	4.26E-05	2.24E-05	1.27E-05	3.51E-05	4.00E-05	2.96E-05	3.07E-05	0.000163656	0.00046269	0.000221403	0.000202676	0.00011325	8.16E-05	5.48E-05	5.46E-05	6.48E-05	5.04E-05	9.58E-05	6.40E-05	5.29E-05	3.07E-05	5.28E-05	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae
Acidiferrobacteraceae	6.22E-05	8.78E-05	7.98E-05	5.50E-05	2.79E-05	5.10E-05	0.000106869	8.51E-05	7.50E-05	5.26E-05	0.000127186	1.98E-05	0.000299822	0.000278768	0.000256082	0.000504316	0.000356635	0.000396212	0.000273947	0.000251741	0.000256826	0.000303889	0.000152673	0.000225894	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae
Aeromonadaceae	0.000119049	3.77E-05	2.57E-05	5.04E-05	4.85E-05	4.81E-05	0.000272689	4.84E-05	0.000970712	6.19E-05	3.69E-05	9.07E-05	0.000123775	0.000143484	0.000266224	0.000148283	0.00011718	0.000100078	3.47E-05	5.59E-05	6.14E-05	0.000117748	0.00016292	0.000126962	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae
Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72E-07	0	8.20E-07	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae
Alteromonadaceae	0.104567168	0.042912546	0.030907787	0.005229679	0.000285923	0.000243747	0.031331617	0.037340308	0.036329784	0.002803546	0.009847334	0.005281764	0.018365101	0.010134557	0.014458727	0.002394148	0.002112151	0.002566763	0.004379223	0.012981414	0.005807799	0.009769587	0.004291758	0.014096637	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae
Colwelliaceae	0.001369649	0.000306745	0.00023038	5.80E-05	1.05E-05	1.30E-05	0.000433682	0.000478626	0.00025181	3.00E-05	4.85E-05	6.32E-05	0.000448747	0.000171155	0.000212979	0.000168363	0.000196513	0.000251836	0.000220726	0.000150086	0.000631491	0.000113518	7.58E-05	0.000131359	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae
Idiomarinaceae	2.93E-05	1.00E-05	4.59E-05	7.36E-05	0.000136195	4.09E-05	8.31E-05	0.000104303	8.08E-06	1.23E-05	1.13E-05	5.91E-06	7.15E-05	3.84E-05	0.000349387	5.87E-05	6.70E-05	7.88E-05	0.00010196	3.62E-05	0.0001687	5.43E-05	8.20E-06	3.35E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Idiomarinaceae
Moritellaceae	5.86E-07	1.00E-06	1.37E-06	2.12E-06	2.18E-06	4.81E-07	3.45E-07	0	0	1.01E-06	0	5.57E-06	9.86E-07	0	1.52E-06	1.16E-05	6.55E-06	0	2.24E-06	1.06E-06	0	2.12E-06	5.12E-07	5.50E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae
