k__Bacteria.p__Planctomycetes.c__Phycisphaerae.o__Sedimentisphaerales.f__Sedimentisphaeraceae.g__Sedimentisphaera	0			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Paenisporosarcina	0			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Acetobacterium	0.305351446	AOM	2.268804548	0.033985607
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Pluralibacter	0			-
k__Bacteria.p__Proteobacteria.c__Oligoflexia.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio	0			-
k__Bacteria.p__Chloroflexi.c__Candidatus_Thermofonsia	0.979092888			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Trueperella	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales.f__Gallionellaceae.g__Ferriphaselus	0			-
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Nibribacter	0			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Frateuria	0.249606033			-
k__Bacteria.p__Cyanobacteria.unclassified.o__Pleurocapsales.f__Hyellaceae	0			-
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus	1.777830634			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Abyssicoccus	0			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Ottowia	1.23061923			0.033985607
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Zoogloeaceae.g__Nitrogeniibacter	0.702430598			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Vulgatibacteraceae.g__Vulgatibacter	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfoluna	0			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Wenyingzhuangia	1.613136871			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Salinisphaerales.f__Salinisphaeraceae	0			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales	4.198191717	CK	3.638130961	0.03899022
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Jonesiaceae	0.170261717			-
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Pseudoxanthomonas	2.482326481			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	5.775712276	AOM	4.72033644	0.03899022
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea	1.639366783			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales.f__Sulfuricellaceae	1.757218952			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Mariniflexile	1.878521884			-
k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Propionibacteriales.f__Propionibacteriaceae.g__Brevilactibacter	2.714012173			-
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Methylobacteriaceae.g__Microvirga	0			-
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfuromonadales.f__Desulfuromonadaceae.g__Malonomonas	0			-
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Tamlana	1.979630372			0.03899022
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylotuvimicrobium	0			-
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halalkalibacterium__ex_Joshi_et_al__2022_	0			-
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Vallitaleaceae.g__Vallitalea	0.683347428			0.024133897
k__Bacteria.p__Chlamydiae.c__Chlamydiia.o__Parachlamydiales.f__Criblamydiaceae	0			-
k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Isosphaerales.f__Isosphaeraceae	0.39252108			-
k__Bacteria.p__Planctomycetes.c__Candidatus_Brocadiia.o__Candidatus_Brocadiales	0.507990838			-
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia	0.346353372			-
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Peptoniphilus	0			-
