GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K11209	115.444	115.876	149.411	34.625	57.648	39.334
K11210	0	0	0	0	0	6.543
K11211	0	0.812	1.355	2.094	3.181	1.535
K11212	6.267	23.766	28.71	7.688	9.872	0.533
K11216	0	0	0	0	0	1.524
K11249	0	0	0	0	0	1.004
K11250	11.519	10.116	11.287	0	0	3.503
K11251	0	0	0.216	0	0	0
K11253	0.898	0	0.953	0	0	0
K11254	3.005	0	0.734	2.339	0	0.527
K11258	38.95	20.577	28.232	4.617	2.311	7.155
K11261	0	0	1.153	0	0	0
K11263	2.481	0	0	0	10.077	16.587
K11264	0	0	0	0	0	0.692
K11312	0	1.401	0	0	0	0
K11333	1.333	2.329	0.739	0	3.201	9.114
K11334	0.73	0	0.792	0.44	0	0
K11335	1.076	0.886	1.375	1.554	5.595	5.323
K11381	115.009	110.343	93.847	182.544	197.164	155.713
K11391	0.788	0.472	1.786	1.198	1.091	0.89
K11392	9.019	15.223	12.893	0.815	0.56	3.059
K11443	10.459	7.189	3.046	3.756	6.646	15.61
K11472	0	0.491	0	0.489	1.968	1.926
K11473	139.307	108.373	132.873	24.593	76.063	89.144
K11474	0	0	0	0.736	0.593	0
K11529	16.453	14.912	20.101	2.583	0	6.798
K11531	0	0	0	0	0.446	0.535
K11532	140.714	103.954	88.814	27.113	94.292	109.735
K11535	0	0	0	0	0	0.836
K11537	0	0	0	0	0	1.985
K11600	0	0.87	0	0.767	1.589	0
K11604	102.749	60.972	52.557	5.907	43.963	46.801
K11605	126.12	70.233	64.664	8.333	47.518	64.5
K11606	22.255	8.448	7.146	1.869	10.98	16.092
K11607	94.208	61.624	46.898	4.992	33.986	48.84
K11616	0	0	0	0	0	0.371
K11645	21.074	31.249	16.448	16.96	43.568	46.773
K11646	0	0	0	1.185	4.503	0
K11688	75.059	72.904	103.22	19.39	41.499	43.316
K11689	79.957	83.926	116.249	15.378	27.109	29.798
K11690	196.525	171.628	182.193	29.818	99.448	118.269
K11692	1.123	1.447	1.349	1.363	2.257	2.554
K11707	4.137	4.479	5.656	8.421	22.29	12.613
K11708	22.565	52.607	82.544	38.366	59.253	37.687
K11709	24.946	46.281	67.503	27.402	35.29	27.364
K11710	43.869	71.864	94.25	68.849	115.402	95.045
K11717	151.305	177.43	198.691	67.375	156.472	146.737
K11719	0.444	0	0.284	0.664	2.406	0
K11720	172.95	133.941	157.355	39.252	75.086	83.283
K11731	0	2.985	1.62	1.995	1.072	0
K11732	0	0	0	0	0	2.153
K11733	0	0	0	0	0	3.669
K11734	0	0	0	0	0	3.606
K11735	0	0	0	0	0	1.74
K11737	0	0	0	0	0	1.399
K11738	0	0	0	0	0	1.304
K11741	1.088	2.416	1.461	26.671	25.436	5.229
K11742	0	0	0	0	0	2.434
K11744	0	0	0	0	0	0.497
K11745	0.113	0.795	0.721	0.169	0	0.514
K11747	8.864	6.035	9.347	2.31	6.9	7.669
K11748	0	0.583	2.895	1.204	2.989	3.28
K11749	68.716	97.586	120.967	33.695	78.442	90.598
K11750	0	4.08	5.071	0	0	0.804
K11751	121.867	92.947	105.885	17.566	47.776	47.266
K11752	89.636	54.114	52.703	6.927	26.163	35.326
K11753	114.197	79.082	73.115	9.327	43.173	51.983
K11754	22.981	24.369	31.972	9.036	17.699	16.305
K11755	37.413	32.541	36.375	5.006	8.566	13.97
K11779	225.345	126.532	109.107	10.685	60.012	69.518
K11780	0	0	0	0	4.526	0
K11781	0	1.808	0	0	6.8	0
K11784	0	5.999	0.997	1.549	11.658	10.072
K11785	0	0	0	2.087	0	0
K11788	0	0	0	0	0	0.43
K11811	32.938	47.773	20.23	23.313	22.545	14.104
K11891	52.573	29.384	23.203	5.163	15.817	13.838
K11892	90.406	93.434	101.711	17.738	40.417	41.207
K11893	116.454	51.132	48.863	5.882	25.98	35.836
K11894	0	0.204	0.11	0.893	0.311	2.266
K11895	114.148	58.508	53.872	2.821	39.066	40.888
K11896	109.934	60.916	47.353	5.592	34.794	35.662
K11897	127.6	53.086	64.015	3.432	28.372	29.006
K11898	79.543	43.571	34.464	3.429	24.439	29.365
K11900	142.12	82.558	75.898	13.246	68.723	91.957
K11901	133.629	85.951	80.357	6.633	58.808	53.037
K11902	16.798	11.514	7.357	0.807	10.388	6.397
K11903	120.291	81.038	73.597	5.23	32.842	35.955
K11904	14.361	17.119	8.998	0	0	8.976
K11905	0	0	0	0	0	3.044
K11906	0	0	1.71	1.167	1.879	0
K11907	11.894	11.589	18.179	3.653	4.647	4.885
K11908	0	0	0.09	0.74	0.255	0
K11909	0.412	0	0.263	0.307	0	0
K11910	0	0	0	0.461	2.776	1.017
K11911	0	0	0	0	0	0.699
