GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K00001	0	0.228	0	1.297	2.76	1.272
K00003	146.48	118.683	66.825	22.454	48.558	104.686
K00005	0	2.505	0	0	0	1.384
K00007	0	0	0	0	0	0.361
K00008	1.008	0	0.877	1.331	7.888	3.69
K00009	0	0	0	0	0	1.322
K00010	3.495	8.929	16.107	4.566	12.552	7.338
K00012	72.043	89.089	71.698	258.29	138.285	141.983
K00013	139.494	135.553	88.342	44.682	99.199	145.641
K00014	19.817	18.3	15.247	4.178	7.381	4.434
K00015	31.598	48.267	86.039	20.382	46.391	44.943
K00016	0	0	0	0	0	5.326
K00018	0.249	0.291	2.039	2.813	2.85	1.082
K00019	151.915	123.504	141.486	36.328	86.131	82.713
K00020	274.129	171.776	141.614	34.473	132.725	166.951
K00021	0.361	0.862	2.102	0.858	0	0
K00023	215.368	188.406	195.855	61.778	178.121	241.366
K00024	187.488	299.8	190.823	216.661	468.844	440.114
K00027	33.15	25.847	30.48	2.434	28.653	38.386
K00029	145.777	152.899	123.619	95.549	211.73	225.258
K00030	0	3.681	2.416	2.513	0	9.261
K00031	140.219	174.36	102.433	335.521	296.454	349.04
K00033	15.975	20.395	19.091	23.106	50.098	48.13
K00036	238.383	173.597	192.25	35.231	107.015	128.21
K00039	0	4.417	0	0	0	2.282
K00040	0	0	0	0	0	0.336
K00041	0	0	0	0	0	0.663
K00042	2.197	3.069	2.255	4.134	4.742	17.683
K00043	1.572	0	0	0.913	0	3.171
K00045	69.166	35.091	33.854	5.511	30.754	36.209
K00046	36.503	81.444	46.603	45.151	76.845	66.199
K00048	0	0	0	0	0	1.322
K00050	0	0	0.114	0	0	0
K00052	167.837	274.002	169.805	134.134	346.321	355.213
K00053	430.742	468.152	361.117	213.004	471.631	576.855
K00054	3.542	2.83	9.451	6.796	14.172	5.318
K00055	0	2.967	0	0	0	0
K00057	63.34	78.278	76.105	50.165	92.846	83.546
K00058	100.986	134.724	178.586	85.452	188.936	216.99
K00059	493.55	487.659	460.341	187.887	474.064	489.354
K00060	142.374	93.162	87.67	29.278	68.866	103.007
K00065	23.815	31.753	17.214	15.046	41.933	51.58
K00066	0	0	0	0	5.717	8.344
K00067	21.448	69.562	128.781	27.757	42.304	27.614
K00074	131.888	164.988	124.642	383.503	313.625	258.119
K00075	36.944	42.934	88.317	19.428	32.363	30.98
K00076	26.98	57.736	79.973	15.078	14.337	14.741
K00077	1.663	4.244	2.887	6.716	12.45	21.21
K00086	0	0	0	0	0	1.302
K00087	0	0	0	0	0	1.025
K00088	223.289	275.845	249.177	405.866	407.443	395.24
K00090	0	0	0	0	0	2.667
K00091	4.772	9.115	7.899	5.105	10.306	18.358
K00096	0	0	0	0	6.778	0
K00097	42.301	50.293	44.25	22.433	42.787	49.932
K00099	107.433	55.925	52.124	4.792	47.528	41.226
K00100	2.723	0.988	4.776	2.483	5.958	5.843
K00101	184.264	169.268	209.508	40.485	122.636	157.431
K00102	142.412	115.131	132.071	15.213	48.723	61.235
K00104	138.525	120.48	132.886	32.917	96.913	103.965
K00108	218.716	167.092	208.237	34.379	116.356	119.962
K00111	82.919	60.199	51.503	18.468	72.32	67.203
K00112	0	0	0	0	0	0.373
K00113	0	0	0	0	0	1.691
K00114	28.156	17.416	17.966	9.683	25.687	26.196
K00116	0.302	0.178	0.093	2.143	7.429	2.892
K00117	0	0	0	1.161	3.86	0.59
K00118	0	0	2.631	1.833	0	0
K00119	1.014	1.555	1.084	0	7.598	2.668
K00121	295.056	291.555	229.277	134.005	324.505	372.346
K00122	91.973	51.137	49.496	7.056	32.514	40.967
K00123	75.797	54.125	50.522	23.221	79.532	86.589
K00124	75.711	132.435	104.813	54.559	127.75	165.042
K00127	0	1.838	2.297	1.468	0	2.714
K00128	594.969	534.58	513.535	195.903	478.224	472.013
K00130	76.114	77.855	99.68	19.336	35.238	43.601
K00131	31.574	69.195	55.681	40.357	86.86	89.125
K00133	290.828	324.698	274.248	124.531	336.111	348.029
K00134	677.028	664.939	588.379	470.319	525.573	561.951
K00135	234.652	254.79	355.301	70.388	138.35	167.966
K00137	1.03	0	1.183	0.777	6.174	5.107
K00138	84.387	82.097	115.462	30.745	49.707	56.114
K00140	251.938	172.392	189.642	44.646	173.625	190.459
K00145	142.808	132.994	156.377	31.49	61.739	78.968
K00146	0	0	0	0	0	0.652
K00147	149.193	135.569	101.196	39.28	86.417	110.102
K00150	6.798	5.118	2.804	1.405	6.952	10.331
K00151	110.627	76.876	59.393	14.161	50.59	79.078
K00153	8.026	0	1.116	6.214	26.068	51.842
K00154	0.606	0.919	1.89	2.05	8.156	5.534
K00156	0	0.149	0.242	0	0	0.281
K00161	256.734	289.59	266.885	144.42	314.246	315.334
K00162	299.67	354.355	252.872	200.526	456.337	430.58
K00163	72.526	95.765	95.036	44.929	117.446	164.611
K00164	102.116	116.059	94.224	172.768	173.17	171.109
K00166	137.142	103.852	120.602	26.711	91.575	99.964
K00167	126.287	109.437	134.204	30.288	117.706	107.263
K00170	0	2.869	0	4.231	0	0
K00171	0	0	0	0	0	2.225
K00172	0	5.114	1.52	0	0	0
K00174	47.815	93.189	53.355	47.915	132.44	146.141
K00175	56.063	104.191	54.842	52.417	178.284	226.963
K00176	1.107	1.395	0	0	0	0
K00177	0.95	8.036	0	0	5.336	10.541
K00179	0	0	0	0	3.047	4.109
K00180	2.995	1.776	0	0	0	0
K00184	36.337	64.395	45.291	46.442	85.118	73.418
K00185	116.849	232.12	147.16	144.524	309.614	253.923
K00197	5.917	0	0	0	0	0
K00198	9.235	23.606	5.722	2.534	5.952	12.906
K00206	1.734	1.513	2.207	2.174	8.613	12.927
K00208	347.364	360.931	356.853	144.937	362.445	356.048
K00209	47.336	26.988	36.172	11.31	16.728	15.443
K00215	104.886	98.232	127.619	25.537	31.724	56.247
K00216	0	0	0	0	0	1.473
K00219	13.021	12.66	10.14	14.25	24.751	28.963
K00220	89.989	69.138	87.094	21.304	70.064	78.108
K00221	0.703	0	0.265	0	0	0
K00228	141.029	142.255	110.723	325.171	192.595	207.379
K00230	0.529	1.226	3.007	1.014	0	0
K00239	336.748	499.763	412.775	488.932	544.035	633.309
K00240	351.493	437.861	338.094	209.665	504.279	506.143
K00241	183.74	182.844	226.16	47.774	114.515	84.766
K00242	182.623	167.164	179.395	24.454	60.801	69.262
K00243	41.744	53.101	51.937	22.228	31.286	21.356
K00244	21.115	11.798	13.506	2.463	7.213	10.519
K00245	35.583	24.766	32.943	1.029	2.321	6.597
K00246	31.592	18.13	23.006	0.902	2.179	0
K00247	24.286	17.069	17.315	0	0	5.648
K00248	21.854	50.736	93.929	41.653	26.262	17.929
K00249	158.214	114.623	84.183	35.771	137.026	155.213
K00252	284.702	390.593	321.296	239.955	515.938	532.426
K00253	242.643	181.307	195.378	298.212	138.989	173.01
K00254	160.757	127.868	112.224	46.923	106.399	117.152
K00255	1.079	0	0.728	1.095	1.565	2.874
K00257	225.075	219.936	305.79	65.003	118.206	138.195
K00259	85.268	126.268	140.45	281.043	159.558	189.425
K00261	170.913	148.413	158.393	304.854	166.553	178.458
K00262	86.152	152.104	91.395	88.576	206.847	251.401
K00263	8.336	19.897	20.729	284.547	98.187	59.31
K00265	169.483	205.206	138.031	103.875	251.101	318.302
K00266	255.843	239.422	241.375	111.451	226.466	243.161
K00274	0	0.264	0.571	0	5.991	0
K00275	47.418	47.357	29.126	21.254	43.418	50.395
K00276	0.217	0	0	0.162	0.196	0.715
K00278	46.691	48.274	191.905	253.273	64.921	34.672
K00281	70.074	86.494	73.197	54.159	108.375	104.93
K00282	7.181	8.681	3.836	0	19.499	17.879
K00283	17.914	22.848	10.817	5.943	30.869	21.526
K00285	44.241	60.031	166.889	33.491	51.042	59.566
K00286	49.072	101.366	119.107	55.787	88.465	82.284
K00287	5.545	10.742	10.746	5.323	13.927	9.221
K00290	44.645	65.324	90.545	24.791	48.198	52.871
K00292	0	0	4.468	0	0	0
K00293	110.761	99.768	136.392	17.312	37.73	44.895
K00294	31.883	59.496	48.371	58.455	106.592	92.33
K00297	295.466	305.59	351.987	98.92	206.925	231.902
K00299	0	0	0	0	0	2.064
K00302	133.631	112.107	151.675	31.357	60.346	79.401
K00303	220.847	202.817	238.145	64.741	156.204	194.166
K00304	330.311	205.838	233.182	26.088	64.557	128.491
K00305	8.748	5.276	3.896	0	1.823	0
K00311	180.2	143.973	160.645	33.212	89.515	103.449
K00313	0	0	0	0	0	1.559
K00315	203.766	146.841	121.66	53.319	166.861	215.556
K00317	80.07	46.596	40.735	10.292	35.063	38.53
K00318	2.53	4.94	14.971	17.426	19.46	17.74
K00320	0	1.594	0	0	0	3.602
K00322	133.766	130.87	145.841	27.672	51.965	53.53
K00324	358.12	306.632	322.092	65.938	230.871	262.935
K00325	258.695	173.582	151.193	38.503	154.79	188.077
K00329	13.344	34.879	67.055	13.336	10.814	10.951
K00330	314.243	344.187	273.274	383.88	367.182	398.278
K00331	484.938	520.95	326.77	459.082	692.216	902.915
K00332	176.198	131.403	146.451	282.708	152.447	133.752
K00333	221.765	338.367	210.499	382.207	486.562	610.004
K00334	16.965	13.811	11.277	14.116	44.385	68.992
K00335	229.09	212.046	175.277	82.005	246.874	298.54
K00336	45.08	139.769	160.427	40.1	71.228	68.843
K00337	215.714	208.236	203.891	327.193	269.576	299.629
K00338	174.106	235.897	111.507	117.498	436.834	543.769
K00339	178.047	152.423	162.356	35.286	105.111	117.491
K00340	221.991	157.092	187.676	61.388	127.542	144.593
K00341	80.186	101.628	70.791	40.018	150.66	175.059
K00342	244.638	242.777	223.285	75.168	260.067	283.342
K00343	146.714	143.416	152.341	43.911	102.117	138.762
K00344	22.4	13.453	20.663	9.296	41.344	24.284
K00346	83.736	109.788	148.946	291.991	96.812	82.317
K00347	200.148	210.954	205.75	317.47	193.974	194.993
K00348	88.68	101.126	140.926	31.85	49.854	62.261
K00349	376.388	429.514	423.579	458.208	477.446	448.509
K00350	328.045	328.002	311.258	149.367	297.275	278.07
K00351	308.268	371.834	333.055	414.011	433.659	368.415
K00356	13.582	34.879	67.055	13.336	10.814	10.951
K00359	0	5.5	6.604	0	0	0
K00362	90.465	61.438	50.524	13.244	37.312	29.731
K00363	25.091	14.386	17.585	6.281	13.821	9.029
K00364	30.598	19.195	19.079	0.678	21.674	15.235
K00367	4.531	7.088	5.035	5.223	12.864	12.106
K00368	6.288	8.515	7.474	16.644	40.567	19.21
K00370	15.767	22.721	6.981	18.155	32.123	59.484
K00371	34.863	36.019	18.564	29.68	84.524	93.553
K00372	26.717	15.308	12.539	1.837	8.044	13.879
K00373	2.542	0.377	0	1.43	5.119	4.332
K00374	0.377	0	0.723	0.844	0	0.827
K00375	121.102	98.337	91.582	21.277	75.805	102.352
K00376	103.192	180.99	112.478	103.284	245.791	229.68
K00380	17.042	10.498	13.7	1.705	0.175	1.093
K00381	196.632	144.769	168.015	30.702	92.627	87.578
K00382	612.932	584.878	611.5	690.196	628.694	662.605
K00383	194.589	117.875	162.919	22.803	64.968	71.668
K00384	292.746	331.208	277.87	399.289	428.48	368.335
K00389	0	3.554	1.379	0.991	1.117	9.097
K00390	157.148	127.333	154.489	29.085	70.452	67.263
K00392	13.749	27.036	22.361	16.861	41.521	40.328
K00394	68.38	126.235	33.954	29.063	43.507	92.638
K00395	69.57	151.253	28.725	30.116	29.75	96.567
K00404	292.283	292.177	221.18	87.249	177.616	262.631
K00405	58.641	120.502	104.183	39.13	80.873	79.028
K00406	153.357	132.011	160.041	28.458	58.431	84.707
K00407	26.23	63.243	124.941	46.372	14.699	0
K00411	67.889	69.953	108.631	23.481	34.793	37.96
K00412	227.329	214.776	200.198	54.329	169.141	192.362
K00413	140.611	108.699	148.262	17.328	37.815	54.704
K00423	0	0.857	0.082	0.384	2.317	0
K00424	0	0	0	0	0	2.464
K00425	49.046	59.628	59.252	46.294	95.08	92.392
K00426	21.244	36.52	28.513	18.494	35.453	30.595
K00427	0	0	0	0	0	1.491
K00428	40.444	104.471	178.03	29.987	53.145	43.288
K00432	1.002	2.377	3.403	4.114	4.234	4.012
K00436	0	2.469	0	0	0	0
K00441	6.743	9.742	4.011	10.096	63.356	92.633
K00446	142.075	112.796	123.272	26.174	61.542	75.23
K00448	0.404	0	0	0	0	0
K00449	141.067	98.729	120.243	17.444	42.646	44.302
K00451	224.464	229.727	233.416	371.538	296.935	297.011
K00452	50.366	122.631	149.094	71.006	115.781	119.982
K00453	163.213	169.434	186.086	85.383	157.551	150.597
K00455	0	2.09	1.758	4.104	9.328	19.449
K00457	126.949	197.728	209.74	91.83	216.775	207.006
K00459	87.107	103.87	72.642	50.208	124.681	126.29
K00469	0	0	0.527	2.192	5.719	4.242
K00471	17.349	11.881	9.322	1.116	12.103	10.83
K00472	0.219	1.551	0.56	0.163	2.705	0.823
K00477	0	0.773	0.628	0.244	0	0
K00479	90.414	54.722	48.971	3.168	20.936	30.397
K00480	34.397	43.926	96.276	16.831	9.545	21.662
K00481	35.768	56.216	86.953	14.072	29.625	32.836
K00483	0	0	0	0	0	0.935
K00486	28.664	54.231	43.737	40.496	91.993	84.33
K00493	18.889	33.212	64.478	11.94	8.008	8.056
K00496	124.119	81.576	72.732	25.603	66.608	57.534
K00499	136.878	123.515	149.716	20.834	53.752	59.73
K00500	23.081	32.591	35.93	27.279	57.244	71.273
K00505	0	0	0.318	0	0	0
K00507	4.4	19.248	20.837	24.022	27.379	15.199
K00508	35.281	55.126	50.178	27.132	77.167	78.048
K00517	0	2.974	1.487	0.744	7.47	7.472
K00518	1.86	0	0.69	0.853	4.941	1.608
K00520	70.426	57.861	45.468	7.864	34.416	45.617
K00523	0	1.122	0.304	1.855	1.714	1.566
K00525	227.829	292.705	198.208	215.178	412.46	459.896
K00526	198.464	289.341	254.525	427.965	462.413	344.03
K00528	139.196	123.472	127.831	35.195	102.75	105.322
K00529	73.004	42.572	37.463	4.693	25.57	33.184
K00537	1.038	0	5.269	2.887	1.765	11.464
K00540	18.766	31.302	22.74	23.626	51.184	50.377
K00547	0	0	0	0	0	2.248
K00548	423.643	486.44	502.094	212.917	473.985	479.241
K00549	23.088	14.476	17.098	4.675	11.662	17.371
K00554	145.817	147.164	145.413	85.742	178.051	145.228
K00556	6.503	20.235	20.11	16.62	27.217	24.538
K00557	57.002	41.256	47.576	4.901	4.099	3.74
K00558	134.667	100.667	82.745	30.77	87.558	115.55
K00560	180.082	313.119	232.608	380.757	366.198	315.729
K00561	0	1.63	2.425	0	0	0
K00563	0	4.736	1.787	2.023	2.058	0
K00564	0.926	2.622	1.996	0.673	3.738	0.522
K00566	186.841	207.117	203.207	334.132	205.253	224.674
K00567	18.31	16.833	26.901	31.807	31.393	40.648
K00568	179.148	140.494	175.344	30.908	88.549	105.177
K00569	0.397	1.366	2.274	0.296	2.124	0.862
K00570	34.137	53.774	100.443	11.916	9.324	12.14
K00571	2.992	7.878	1.54	3.82	6.205	0
K00573	67.833	125.782	184.67	61.036	92.844	104.525
K00574	271.371	191.866	217.901	33.881	85.767	102.834
K00575	64.82	82.516	142.731	15.782	14.062	15.455
K00588	0	0	0.795	0.927	0	0
K00590	0	1.85	0.514	0	0	0
K00595	56.262	43.027	53.155	7.412	17.033	11.289
K00600	530.699	479.466	393.158	178.627	470.573	521.262
K00602	271.058	273.095	264.993	128.381	267.84	260.611
K00604	35.258	20.692	19.677	7.691	11.99	19.797
K00605	363.852	285.438	230.214	90.188	225.364	231.09
K00606	213.136	249.512	226.408	125.48	280.431	242.201
K00609	350.021	387.725	352.101	216.866	503.062	502.627
K00610	98.208	60.531	72.761	0.478	6.12	6.033
K00611	189.546	150.863	188.247	34.062	75.051	111.964
K00613	36.039	28.802	29.878	3.708	14.587	15.384
K00615	178.888	244.39	228.606	149.393	349.162	284.144
K00616	280.384	391.071	341.016	466.079	432.002	338.96
K00620	12.597	5.484	4.9	3.349	15.414	10.355
K00625	23.554	21.139	15.646	4.807	6.998	11.804
K00626	538.966	470.83	528.061	914.293	616.717	706.93
K00627	91.545	83.076	80.262	51.937	119.835	113.545
K00631	39.566	62.298	110.727	18.729	22.997	8.052
K00632	143.382	163.74	153.733	123.644	268.555	231.32
K00633	0	0	0	0	0	2.855
K00635	0.493	0.194	1.034	2.59	5.495	3.896
K00638	4.112	5.599	4.297	4.021	3.714	0
K00639	389.241	504.701	433.948	322.334	666.918	546.576
K00640	142.977	147.682	173.86	45.727	86.826	105.815
K00641	2.663	0.725	1.968	9.039	24.694	7.576
K00643	29.855	49.454	91.513	20.704	64.306	60.353
K00645	76.985	85.536	90.634	288.09	110.021	123.972
K00647	165.181	129.864	170.54	58.487	124.783	122.872
K00648	292.644	293.743	309.48	423.505	348.988	313.309
K00651	58.821	73.912	117.519	24.306	44.21	47.353
K00652	75.11	47.129	35.843	10.035	38.671	39.805
K00655	51.264	76.204	81.811	48.445	99.413	78.819
K00656	27.195	21.586	18.059	0	0	8.452
K00657	2.354	8.93	12.207	2.023	2.108	2.139
K00658	172.258	223.896	185.259	314.982	388.175	363.16
K00661	0.92	1.117	2.469	2.12	0	0
K00662	0	0	0	0	0.599	0
K00666	248.437	174.168	189.652	42.992	148.174	164.869
K00672	15.88	9.685	5.929	0.396	6.634	3.424
K00673	14.674	10.624	13.753	6.909	13	11.116
K00674	336.549	432.017	298.436	241.526	483.842	512.494
K00677	138.334	203.6	207.735	372.735	279.411	239.628
K00680	4.178	3.803	3.547	3.784	15.592	17.109
K00681	40.689	101.22	181.945	34.509	36.22	60.491
K00684	33.517	70.173	92.965	16.666	18.811	7.282
K00685	4.24	5.235	3.51	0.471	1.796	1.975
K00688	37.876	21.1	24.622	3.435	4.928	1.885
K00690	2.854	3.703	1.958	2.865	0.903	0.832
K00691	36.665	62.591	41.547	37.214	82.691	91.186
K00697	0	0	0	0.126	7.05	0.675
K00700	50.55	70.777	55.852	39.871	71.446	83.233
K00702	17.75	36.983	32.032	14.971	32.274	49.054
K00703	70.466	138.971	106.317	93.539	203.419	183.643
K00705	32.242	24.401	22.011	2.273	0.82	0.998
K00721	15.349	26.858	33.783	12.839	32.021	43.788
K00748	23.59	23.326	26.294	13.667	23.485	12.064
K00752	0	0	1.54	3.436	0	0
K00754	27.448	43.308	40.209	34.998	69.695	68.467
K00756	0	0	0	256.214	23.7	15.752
K00757	38.439	37.012	36.363	18.865	37.441	38.262
K00758	68.127	39.965	38.021	6.165	18.446	25.633
K00759	207.656	162.488	199.248	44.779	121.379	141.115
K00760	147.858	141.948	166.57	36.019	72.408	78.809
K00761	231.686	189.372	220.157	68.481	135.709	130.57
K00762	199.942	224.083	226.962	78.563	201.495	191.811
K00763	166.614	131.746	148.836	35.394	98.803	115.556
K00764	248.428	280.308	256.959	111.743	253.152	270.675
K00765	220.158	233.267	195.323	61.279	151.355	175.18
K00766	102.313	151.156	144.841	75.127	152.126	173.688
K00767	136.252	156.357	157.808	59.595	119.382	123.901
K00768	0	0	0.282	0	1.186	1.889
K00769	216.312	399.442	533.067	42.862	115.329	205.236
K00772	42.855	59.788	77.023	22.899	49.437	53.845
K00773	280.262	319.03	266.343	689.498	410.529	396.577
K00782	0	0.9	1.476	0	0.597	3.286
K00783	189.889	140.619	194.217	44.105	86.315	68.59
K00784	21.826	38.825	27.055	31.585	71.246	60.248
K00788	24.926	14.93	15.587	2.638	3.099	7.519
K00789	174.717	257.002	209.334	370.315	354.744	396.427
K00790	255.913	262.491	254.572	346.973	298.837	323.879
K00791	38.29	27.577	28.092	2.663	5.51	2.716
K00793	152.636	117.582	133.263	283.772	112.619	75.02
K00794	351.162	275.955	275.906	331.401	208.124	238.074
K00795	22.647	13.601	14.606	2.547	3.166	3.582
K00796	29.944	49.47	75.87	13.322	9.236	10.598
K00797	138.896	96.15	127.572	228.293	72.237	66.747
K00798	138.81	92.705	93.672	56.18	93.119	88.733
K00799	352.205	281.895	350.761	72.863	143.238	145.791
K00800	129.861	73.701	71.476	18.283	58.891	81.972
K00803	0	0	0.176	0.514	14.163	5.28
K00805	0.936	4.468	0	2.818	29.412	30.976
K00806	160.747	152.79	185.535	44.865	118.107	111.531
K00808	1.164	2.529	1.237	0.917	5.486	5.451
K00809	106.739	196.294	127.937	336.205	320.927	279.7
K00812	183.92	242.055	241.258	134.348	279.916	266.546
K00813	7.016	8.449	12.498	1.151	0	1.691
K00817	170.843	157.342	177.058	250.386	91.717	51.585
K00819	42.281	78.024	57.88	52.452	115.754	94.686
K00820	223.481	236.9	231.847	103.953	202.268	204.523
K00821	148	139.165	156.524	41.34	84.465	78.423
K00822	121.8	73.532	61.517	8.131	28.152	47.648
K00823	8.752	8.165	11.903	1.309	3.222	0.386
K00824	145.159	104.287	121.999	25.312	74.658	74.303
K00826	234.63	258.24	305.308	102.571	259.772	217.831
K00830	167.426	137.343	154.012	35.091	87.342	122.495
K00831	178.108	172.385	170.405	73.893	165.45	186.966
K00832	177.217	136.748	158.469	24.062	39.717	55.964
K00833	122.44	73.195	67.869	10.327	27.783	30.66
K00835	28.273	15.008	18.973	1.367	3.42	1.561
K00836	102.933	90.507	125.843	16.78	22.92	24.805
K00837	37.993	98.749	200.553	33.905	32.768	31.364
K00839	0.179	1.48	0.114	0	0	0
K00840	0	0	0	0.56	1.015	2.456
K00845	37.915	135.602	259.094	24.609	40.797	44.519
K00847	94.567	57.358	61.026	6.494	42.475	57.588
K00848	0	0	0	0	0	1.33
K00849	9.309	14.026	14.459	5.989	11.948	29.652
K00850	53.597	80.379	68.355	54.396	117.225	94.255
K00851	0	4.071	0.735	0	0	4.756
K00852	18.453	41.318	81.266	15.737	10.483	9.044
K00853	0	6.424	0	0	0	3.834
K00854	3.252	7.692	11.545	0	0.27	3.329
K00855	30.899	27.586	11.676	6.402	17.2	32.438
K00856	0	4.282	0	0	0	0
K00857	241.076	229.81	181.825	111.276	284.665	261.034
K00858	81.792	111.957	145.016	45.381	81.172	88.986
K00859	0.427	1.01	0.273	0.958	0.771	0.872
K00860	17.347	18.717	17.864	9.372	1.433	7.713
K00864	176.044	182.684	175.941	45.379	100.563	138.471
K00865	0	0.243	0.258	0.45	2.597	6.633
K00867	0.249	0.295	1.905	0.789	0.449	0
K00868	0	0	0	0	0	1.238
K00869	34.906	83.135	61.998	57.425	105.993	109.254
K00872	23.349	38.578	26.98	13.067	24.893	29.028
K00873	239.278	220.887	248.74	303.984	190.103	192.515
K00874	217.173	392.735	308.844	223.388	365.237	394.951
K00875	0	0	0	0	0	0.303
K00876	55.632	60.427	53.674	30.903	69.663	50.019
K00878	0	1.114	1.784	0.434	0	0
K00879	0	0	0	0	0	0.347
K00880	0.447	0	0	0	0	1.307
K00881	0	0	0	0	0	0.564
K00882	0.242	0	1.226	1.25	0.436	0.558
K00883	0	0	0	0	1.29	0
K00884	32.172	18.734	24.695	1.198	0	0.577
K00885	0	0	0	0	0	0.606
K00886	8.209	8.64	11.316	6.221	11.416	16.391
K00891	24.882	23.64	27.993	8.149	6.313	6.061
K00892	63.934	44.219	51.546	4.597	2.384	1.143
K00895	0	0	0	0.876	0	0
K00901	37.683	33.033	29.998	7.838	2.236	4.005
K00906	0.251	0.59	0.882	0.281	0	2.488
K00912	2.491	0	3.209	1.741	2.031	4.06
K00919	0.568	1.303	3.692	3.924	5.686	8.075
K00924	0	0	0	0.188	0	0
K00925	95.076	56.964	67.411	4.659	9.128	6.382
K00926	39.731	23.924	26.035	2.912	0	2.869
K00927	201.835	212.154	182.847	65.934	178.776	160.296
K00928	322.289	287.765	284.9	98.954	289.839	336.86
K00930	168.868	114.547	91.209	30.649	126.963	141.342
K00931	147.198	142.332	161.027	40.36	87.948	95.392
K00936	16.759	36.257	70.071	10.737	12.196	10.582
K00937	43.674	40.288	47.238	26.232	49.429	69.758
K00939	427.585	345.118	319.013	78.003	193.394	257.207
K00940	196.122	241.486	256.208	438.231	446.027	475.845
K00941	0.538	3.565	2.238	2.233	0.526	6.205
K00942	252.505	232.693	267.332	76.884	171.944	158.18
K00943	138.056	122.12	130.267	28.251	49.108	49.712
K00945	59.264	74.352	102.563	26.175	29.798	49.7
K00946	39.356	54.61	47.477	50.178	80.575	81.252
K00947	4.085	3.922	0.847	0	0	6.492
K00948	356.253	345.157	289.853	403.31	470.252	464.151
K00950	21.807	24.07	20.554	3.124	4.027	2.421
K00951	86.116	116.929	97.456	85.755	155.16	173.616
K00954	174.947	177.639	193.632	64.527	189.228	195.548
K00955	4.816	5.767	1.158	4.205	34.608	33.477
K00956	71.847	100.424	89.969	60.281	110.055	116.221
K00957	201.642	213.865	158.977	93.587	241.046	289.256
K00958	43.112	72.216	25.863	31.008	64.191	108.311
K00960	1.698	1.638	1.659	0	4.941	5.953
K00962	205.749	274.078	166.463	375.873	411.916	431.909
K00963	179.198	150.374	167.777	24.407	93.056	92.077
K00965	9.468	14.089	12.938	7.342	16.236	17.166
K00966	0.192	0	0	0	0	0
K00968	0	0	2.721	1.198	2.894	0
K00969	42.029	55.865	95.496	35.044	38.998	24.627
K00970	29.372	21.552	22.18	2.211	4.911	9.596
K00971	24.018	39.307	40.514	32.314	60.089	60.673
K00973	188.204	214.13	252.704	113.217	233.911	216.988
K00974	31.243	24.374	24.821	2.589	6.208	0.879
K00975	59.629	71.795	61.415	50.572	100.559	78.635
K00978	1.737	0	0	0	3.16	0
K00979	23.67	41.158	30.842	16.897	35.491	38.561
K00980	0	3.138	4.037	2.521	1.786	0
K00981	23.802	38.046	33.398	15.84	31.594	39.402
K00982	9.065	2.814	3.096	1.694	0	0
K00984	12.894	30.79	6.771	0	0.553	2.71
K00986	1.357	0	0	1.876	1.3	4.375
K00989	185.139	160.421	162.84	296.471	165.586	167.287
K00990	35.756	17.181	22.391	8.234	14.035	6.49
K00991	1.387	1.545	0.209	2.764	0.654	2.352
K00992	25.322	11.806	12.842	3.493	7.5	0.819
K00995	157.883	132.132	153.376	28.269	50.127	72.226
K00997	119.988	58.146	50.864	21.128	66.664	90.584
K00998	0.672	1.409	2.046	0.508	0.303	2.555
K01000	236.484	227.422	241.929	325.598	196.976	236.631
K01004	143.982	110.956	142.365	20.055	64.06	61.956
K01006	72.373	130.832	139.082	58.591	100.133	110.801
K01007	116.499	89.306	71.11	18.62	49.957	61.264
K01008	0.88	12.234	9.727	2.32	5.967	3.127
K01009	0	0	0.499	0.291	2.111	0
K01011	137.232	97.644	131.096	19.283	70.496	37.816
K01012	210.088	140.79	118.215	40.759	139.697	112.723
K01014	12.028	7.804	3.471	0	11.411	3.634
K01023	0	0	0	0	0.215	0.25
K01026	105.671	56.676	60.416	5.677	37.617	45.178
K01028	234.892	250.567	246.435	172.636	368.933	325.395
K01029	237.095	235.743	217.565	136.652	320.601	354.903
K01032	0	0	0	0	3.883	3.415
K01039	0	0	0.192	0.898	4.339	0
K01040	0	0	0.2	0.702	4.957	3.911
K01042	0	3.863	3.136	4.834	9.085	9.41
K01046	0.26	2.187	2.198	2.302	1.386	1.133
K01048	0.966	0.856	2.939	2.152	0	2.016
K01051	0.57	0.899	0.608	0.71	0	1.941
K01053	0	0	0	0.611	0.964	0
K01055	120.988	98.125	109.986	16.254	50.22	47.4
K01056	52.281	68.04	70.041	299.448	79.026	68.013
K01057	51.044	18.995	25.77	1.479	0	7.545
K01058	0.441	1.126	2.076	3.348	4.357	3.599
K01061	36.554	45.603	32.952	32.926	72.696	50.21
K01066	8.507	0	5.34	0	6.131	3.288
K01069	33.638	27.871	22.195	9.041	36.651	19.623
K01070	122.344	69.392	54.848	11.992	30.5	56.882
K01075	0	1.285	0	0	0	0
K01077	12.138	8.25	8.338	2.605	4.379	0.349
K01079	19.677	24.855	27.042	18.458	45.562	47.093
K01081	17.175	34.974	33.024	19.963	59.623	37.858
K01082	178.162	130.157	174.607	33.444	88.586	92.212
K01083	0	0.419	0.151	0.265	0	0
