Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU186	0	1	0	0	0	1
OTU187	1	1	1	1	1	1
OTU188	0	1	0	0	0	1
OTU189	1	0	0	0	0	0
OTU190	1	0	0	0	0	0
OTU191	0	1	1	0	1	0
OTU192	0	1	1	0	0	1
OTU193	1	1	0	0	1	1
OTU194	1	0	0	1	1	1
OTU195	1	0	0	0	0	1
OTU196	1	0	0	0	0	0
OTU197	1	1	1	0	0	1
OTU198	1	1	1	1	1	1
OTU199	1	1	1	1	1	1
OTU200	1	0	0	0	1	0
OTU201	0	0	1	0	0	0
OTU202	0	0	0	0	0	1
OTU203	0	1	0	0	0	1
OTU204	1	1	0	1	1	0
OTU205	0	0	0	1	0	0
OTU206	0	0	0	0	0	1
OTU207	1	1	1	1	1	1
OTU208	1	1	1	1	1	1
OTU209	1	1	1	1	1	1
OTU210	0	0	0	0	0	0
OTU211	0	0	0	0	0	0
OTU212	1	0	0	0	0	1
OTU213	0	1	0	1	0	0
OTU214	0	1	0	1	0	0
OTU215	0	0	0	0	1	0
OTU216	1	1	0	0	0	1
OTU217	1	1	1	0	1	0
OTU218	0	0	1	0	0	0
OTU219	1	0	0	0	1	0
OTU220	1	1	1	1	0	0
OTU221	1	1	1	1	1	1
OTU222	0	1	0	0	0	1
OTU223	0	1	1	0	1	0
OTU224	1	1	0	1	1	1
OTU225	0	0	0	0	0	1
OTU226	1	0	0	0	1	0
OTU227	1	1	0	1	1	0
OTU228	1	1	0	1	1	0
OTU229	1	1	1	0	1	1
OTU230	1	1	1	1	1	1
OTU231	1	0	0	0	1	0
OTU232	1	0	0	0	0	0
OTU233	1	0	0	0	1	0
OTU234	1	0	0	0	1	1
OTU235	1	1	0	0	1	1
OTU236	1	0	0	0	0	0
OTU237	1	0	1	0	1	1
OTU238	1	0	0	0	1	0
OTU239	1	0	0	0	0	1
OTU240	1	0	0	0	0	1
OTU241	1	0	1	0	1	1
OTU242	1	1	0	0	1	0
OTU243	1	1	1	0	1	1
OTU244	1	1	1	1	1	1
OTU245	0	1	0	0	0	0
OTU246	1	1	1	1	1	1
OTU247	1	1	0	1	1	1
OTU248	1	1	1	0	0	1
OTU249	1	0	0	0	0	0
OTU250	1	1	1	0	0	0
OTU251	0	0	1	0	0	0
OTU252	1	1	0	0	1	0
OTU253	1	0	0	0	0	0
OTU254	1	1	1	1	1	1
OTU255	1	1	1	1	1	1
OTU256	1	1	1	1	1	1
OTU257	1	1	1	1	1	1
OTU258	1	1	0	0	1	0
OTU259	0	0	1	0	0	1
OTU260	0	0	0	0	1	0
OTU261	1	1	1	1	1	0
OTU262	1	1	1	1	1	0
OTU263	1	1	1	1	0	1
OTU264	1	1	0	0	0	0
OTU265	1	0	0	1	1	0
OTU266	0	0	0	0	1	0
OTU267	1	1	1	1	0	1
OTU268	1	1	1	1	1	1
OTU269	1	0	0	0	0	0
OTU270	0	0	0	0	1	0
OTU271	1	1	1	1	1	1
OTU272	1	0	0	0	0	0
OTU273	1	1	1	1	0	0
OTU274	1	1	0	0	0	1
OTU275	1	0	0	1	1	1
OTU276	0	0	0	0	0	0
OTU277	1	1	1	1	1	1
OTU278	1	1	0	0	0	0
OTU279	1	1	1	1	1	1
OTU280	1	1	1	1	1	1
OTU281	1	1	0	0	1	1
OTU282	0	0	0	1	0	0
OTU283	1	1	0	1	1	1
OTU284	1	1	1	1	1	1
OTU285	1	1	1	1	1	1
OTU286	0	0	0	0	0	1
OTU287	1	1	1	1	1	1
OTU288	0	0	1	1	0	1
OTU289	1	1	1	1	1	1
