#OTUID	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
NCBI166314	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1663591	28	6	0	0	0	0	7	0	0	5	0	0	0	0	0	4	0	0	0	0	2	0	0	0	5	9	0	8	0	0
NCBI1664069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI166486	28	113	192	406	16	9	80	626	198	304	234	69	411	0	9422	3637	239	901	387	13	739	232	414	16	78	28	227	110	24	548
NCBI1665070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NCBI1665078	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1665089	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1665147	2	2	3	0	5	1	0	1	0	6	1	5	3	2	1	14	0	1	2	3	8	0	3	1	3	0	1	1	1	2
NCBI1665157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCBI1665165	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	3	0	0	2	1	0	0	0	0	0
NCBI1665169	2	2	4	2	1	0	2	3	0	2	3	1	2	2	0	0	7	1	0	0	6	0	2	0	2	3	2	1	0	2
NCBI1665206	0	0	1	7	0	0	0	7	0	8	5	3	2	1	0	0	3	6	6	0	6	0	0	0	0	0	0	0	1	2
NCBI166587	89	129	128	138	332	132	65	285	0	70	47	65	0	38	53	58	0	336	475	220	224	0	0	0	0	0	0	0	184	362
NCBI1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0
NCBI1667024	0	0	0	0	0	0	5	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	36	21	3	52	6	0	0
NCBI1667168	0	30	0	59	0	0	151	0	0	0	0	0	0	0	0	63	0	0	27	0	0	0	0	0	0	0	0	0	122	0
NCBI166935	22	9	0	14	5	14	270	6	5	11	4	15	13	35	17	0	0	19	0	14	0	7	0	20	78	11	215	32	10	0
NCBI1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
NCBI167024	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCBI1670641	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
NCBI1670800	0	12	15	11	32	32	197	16	11	6	9	4	7	8	22	30	0	31	109	48	15	3	34	21	25	11	23	15	26	10
NCBI1670830	11	3	25	4	9	24	0	0	10	0	0	8	2	0	0	17	0	0	13	8	3	0	0	19	4	5	0	0	0	0
NCBI1670831	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NCBI1671	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1671680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NCBI1671721	106	1049	1564	1429	214	256	62	411	3073	3764	1046	1220	597	167	482	631	3164	371	688	363	619	1681	1011	198	208	279	699	157	210	232
NCBI1673018	0	0	621	0	0	0	0	0	355	0	714	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1673604	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0
NCBI1674922	0	0	9	0	0	22	25	0	7	0	0	0	0	26	5	31	0	0	0	0	0	0	0	20	58	0	81	115	48	0
NCBI1675686	1	20	8	5	3	0	0	6	1	8	10	2	3	2	4	2	5	6	12	3	5	0	1	0	0	5	0	1	3	6
NCBI167642	0	0	5	0	0	0	521	6	0	0	11	0	0	0	0	2	0	4	4	3	2	0	2	0	0	0	663	453	0	8
NCBI1677857	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NCBI1678128	0	0	0	0	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	5	0
NCBI1678129	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1678728	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
NCBI1679497	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1679721	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
NCBI1680	94	234	40	689	173	195	20	263	143	1655	48	151	205	63	869	3812	862	95	108	73	188	192	414	73	155	58	111	254	198	47
NCBI1681	0	4	0	0	0	12	0	0	4	0	4	0	0	14	401	288	6	5	0	0	0	0	44	0	13	0	0	6	20	4
NCBI1682113	10	37	14	43	128	18	0	25	28	17	13	47	7	16	26	47	18	10	15	80	46	11	14	0	14	8	17	0	39	3
NCBI1682490	10	11	0	4	0	4	0	0	0	17	8	15	0	0	7	0	7	10	5	0	9	2	0	0	0	0	9	0	0	9
NCBI168275	0	0	0	0	0	0	95	0	0	0	0	0	0	5	0	0	0	0	0	0	0	11	0	0	0	0	128	75	0	0
NCBI1683	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1683044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2743	0	0	0	0	0	0	0	0	0	0
NCBI1683051	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1683052	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1683093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0
NCBI168471	282	40	35	120	162	211	75	32	0	109	72	0	121	146	6	22	0	15	78	103	60	60	0	92	153	303	125	20	185	107
NCBI1685	0	0	59	0	0	31	0	21	0	13	0	13	7	165	0	9	0	13	24	37	0	0	29	0	0	51	44	12	0	19
NCBI1686	7	0	0	0	0	0	0	0	0	0	0	0	4	3	8	21	17	0	3	0	0	0	0	9	0	0	0	0	0	0
NCBI1689	0	0	0	10	5	0	0	0	0	0	0	8	2	5	1	0	10	0	3	11	0	0	0	0	0	0	0	4	9	4
NCBI1689834	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1
NCBI1690220	0	0	0	4	13	3	22	6	4	0	0	0	4	22	0	0	0	7	0	26	0	0	18	30	0	28	28	27	0	0
NCBI1690221	24	0	0	5	12	0	34	0	0	0	0	0	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0
NCBI1690248	0	0	0	0	0	0	0	0	17	0	0	0	13	36	0	29	27	0	0	0	17	0	0	48	0	0	0	0	0	0
NCBI1690483	1	0	4	1	1	0	3	0	0	0	2	0	0	1	2	0	1	0	0	1	0	0	2	0	1	3	1	0	0	0
