#OTUID	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
NCBI100234	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1003110	0	4	0	0	0	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0	0	0	0	0
NCBI1004901	15	2	2	10	7	0	0	33	7	6	9	2	33	0	19	34	21	11	13	5	14	18	35	0	0	13	0	4	0	2
NCBI1006	22	7	2	7	21	23	18	5	15	10	11	6	10	23	2	7	5	2	4	15	4	11	16	11	29	24	21	7	27	1
NCBI1006155	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1007105	0	7	0	8	0	0	0	44	0	0	0	0	0	0	3	0	0	19	0	0	43	0	0	0	0	0	0	0	0	5
NCBI100716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
NCBI1008	3	16	2	6	3	0	0	1	2	8	0	5	3	0	6	0	7	6	1	0	1	1	0	2	30	0	0	2	2	13
NCBI1009682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI1010	0	0	0	7	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI101385	1830	105	469	448	2009	1272	937	33	3870	407	490	194	1249	1270	113	281	670	25	537	2049	39	1418	1701	861	1354	1373	1229	1030	1203	22
NCBI1014	0	0	0	0	2	0	0	0	0	14	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCBI101564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	121	0
NCBI101571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0	0	9	0	0	0	0	0	0	0	0	5
NCBI1016987	0	0	0	0	0	0	0	0	0	6	0	1	0	0	8	0	0	0	17	0	0	0	0	0	0	0	3	0	0	3
NCBI1017	0	0	5	6	3	0	0	5	2	34	5	20	11	0	8	0	28	15	0	3	9	2	9	5	4	0	0	0	0	6
NCBI1019	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI102116	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0
NCBI102134	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI102684	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1027273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0
NCBI102862	0	4	34	5	9	0	0	126	16	0	615	0	77	0	0	9	0	67	339	0	70	48	0	0	0	0	0	0	0	64
NCBI1028752	0	7	18	4	5	35	4	0	20	0	10	6	0	0	7	0	0	0	0	14	0	17	6	0	7	14	0	0	0	8
NCBI1030157	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
NCBI1031538	6	3	0	0	1	0	0	0	4	3	5	0	1	0	4	4	0	0	1	0	0	1	0	0	1	0	0	0	2	0
NCBI1031540	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1032527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCBI1032623	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1032851	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
NCBI1033846	127	1142	1717	1434	48	104	140	284	2746	2889	879	1031	398	151	600	452	2642	180	506	453	607	1410	1155	83	140	180	587	149	110	135
NCBI1033854	106	48	125	131	110	65	0	916	13	37	317	24	163	0	46	0	191	1529	4319	0	855	58	0	0	0	0	107	0	467	385
NCBI1034889	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
NCBI103731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI103816	0	17	19	29	0	12	0	83	26	0	0	0	22	0	44	54	25	18	21	0	18	0	0	0	157	0	531	141	0	0
NCBI103855	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
NCBI1038856	0	0	1	0	13	0	0	0	4	0	5	0	3	0	0	0	0	0	0	4	0	5	8	0	0	0	0	0	0	0
NCBI1038928	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI104	179	129	124	259	161	193	571	207	7717	544	1097	622	1196	724	242	4895	658	86	63	173	140	549	11619	646	1049	158	573	553	212	69
NCBI104087	0	0	3	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
NCBI1040979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1041504	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1042	25	94	16	157	21	35	8	28	9	83	7	56	5	22	383	12	68	0	0	0	21	2	25	16	10	48	5	0	51	7
NCBI1042156	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI104268	232	63	32	78	305	80	104	16	426	104	92	77	58	132	43	92	106	7	6	185	11	92	188	161	72	45	247	488	328	110
NCBI104336	0	0	5	0	0	0	0	0	0	11	0	8	0	0	5	5	0	3	0	0	3	0	0	0	0	18	12	9	0	2
NCBI1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1045317	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI1045808	0	0	0	0	0	25	0	0	0	0	0	0	22	0	0	29	0	0	0	45	0	0	0	0	0	0	0	0	0	0
NCBI104609	0	0	2	0	0	0	9	2	41	0	0	1	0	1	0	12	0	5	0	0	0	7	11	0	5	0	0	0	0	0
NCBI104623	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0
NCBI1047172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NCBI1049	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NCBI104955	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1049583	0	14	0	0	0	0	0	0	26	0	0	17	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0
NCBI1050	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0
NCBI1050370	0	0	0	3	0	0	0	4	4	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	2	2	2	0
NCBI1052	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI105219	242	1975	76	2083	108	343	54	43	0	853	0	2004	0	74	1302	46	1902	0	0	0	40	0	0	404	66	0	0	0	0	37
NCBI1054033	6	3	0	0	0	0	0	3	4	6	5	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1054034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	39	0	0	0	0	0	0	23	13
NCBI1055101	0	10	0	15	0	0	0	10	17	0	0	0	0	0	9	0	6	0	0	0	0	7	0	0	0	0	12	0	0	10
NCBI1055104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	14	0	0	36	0	0	0
NCBI1055487	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI105560	201	52	33	0	551	386	29	184	173	0	0	49	36	195	0	37	33	29	0	294	101	0	0	0	336	587	77	134	219	34
NCBI1057	0	0	0	0	0	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI105841	92	4	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
NCBI1061	72	3	8	4	53	55	20	7	19	20	9	4	11	30	3	23	5	6	2	20	8	1	9	27	44	35	32	16	26	0
NCBI1063	150	13	32	27	145	93	29	20	60	28	21	24	26	103	30	135	40	11	16	80	14	34	74	120	74	102	70	96	108	14
NCBI106370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	3	0	0	0	0	0	0	0
NCBI106590	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11
NCBI106592	0	0	6	0	0	58	0	7	0	25	0	8	7	0	0	0	0	0	30	0	7	0	0	0	0	0	0	0	0	0
NCBI106634	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
NCBI106648	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
NCBI106649	62	2	2	8	46	60	20	20	2	7	2	0	2	30	6	32	3	3	37	81	20	1	9	44	14	57	56	45	78	30
NCBI106654	0	17	0	44	0	0	0	0	8	9	6	20	0	17	67	0	29	11	27	40	0	0	0	87	0	0	28	4	0	0
NCBI1068630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1069	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0
NCBI1069220	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1071072	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
NCBI107327	1	0	0	4	1	2	2	0	3	1	0	5	5	0	3	0	1	0	0	3	0	0	0	0	0	0	8	1	5	0
NCBI107401	17	25	0	16	22	20	34	0	68	77	26	69	15	19	3	36	78	3	0	10	3	48	84	22	29	26	29	34	21	5
NCBI1074311	0	0	64	4	9	0	3	70	13	0	60	0	83	12	4	15	0	10	47	0	65	106	36	0	0	11	0	18	0	14
NCBI1075	59	1	7	1	46	20	15	4	13	3	4	11	2	26	5	22	1	10	8	23	4	7	6	38	30	25	35	11	23	1
NCBI1076	20	7	0	11	0	5	4	5	4	19	0	0	0	2	0	37	6	0	38	0	0	0	1	44	0	22	12	5	0	6
NCBI107637	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1076588	11	3	2	3	6	8	1	2	2	6	2	7	2	3	2	2	2	3	2	3	3	1	0	2	0	11	5	0	7	0
NCBI1076596	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1077935	534	135	29	84	505	472	171	47	39	117	14	84	49	222	105	192	98	6	25	526	24	33	77	211	290	366	333	289	567	37
NCBI1078471	0	18	10	0	21	0	0	5	4	5	10	0	12	0	10	10	12	15	9	0	3	6	42	0	0	0	19	0	0	2
NCBI108	0	0	1	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCBI108007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI108010	0	0	32	0	0	0	0	3	0	0	14	0	0	0	0	0	0	32	1	0	22	0	0	0	0	2	0	0	0	34
NCBI1080223	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1081866	47	0	145	0	38	58	26	54	1	0	1	0	0	19	1	1	1	85	145	70	49	1	0	16	38	40	31	66	31	78
NCBI1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0
NCBI108486	0	0	47	32	0	0	0	0	53	0	0	0	12	89	0	17	0	12	0	0	12	0	0	0	0	0	0	0	0	15
NCBI1085624	16	5	2	1	17	5	5	5	10	3	27	8	8	4	1	17	4	4	4	10	4	13	9	9	8	11	16	10	14	8
NCBI1088856	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
NCBI1089444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
NCBI108980	0	0	0	0	24	55	0	31	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	45	0	15	0	0	12
NCBI108981	14	0	13	0	0	0	0	0	0	0	0	6	0	0	0	0	9	9	121	0	0	0	0	0	0	0	0	0	0	213
NCBI1092	9	4	1	7	10	4	22	0	6	0	0	0	6	10	1	7	7	0	0	13	0	14	12	14	14	10	14	3	10	0
NCBI1094	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1094342	0	17	15	9	0	0	0	16	23	8	18	7	19	0	7	0	0	3	6	5	6	14	4	2	0	0	2	0	0	0
NCBI1096	0	0	0	1	0	1	1	0	1	0	1	0	5	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2
NCBI1096243	0	1	0	16	1	0	0	7	0	3	1	1	0	0	0	0	5	0	2	15	0	0	1	1	7	47	2	0	0	0
NCBI11	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1102	0	0	1	0	0	0	0	2	1	2	0	0	3	0	0	0	2	2	5	0	1	1	0	0	0	0	0	0	2	3
NCBI110319	486	183	40	92	578	234	552	57	57	90	69	51	57	807	146	250	55	24	43	640	27	20	134	457	392	427	858	304	152	5
NCBI110505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI110539	0	23	0	0	0	0	0	0	26	0	0	0	0	0	21	0	24	17	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1109740	0	0	0	117	0	0	0	0	0	0	149	0	0	0	0	0	0	84	0	0	0	43	0	0	0	0	0	0	0	0
NCBI111015	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1111069	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1112	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1112288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1112298	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NCBI1113728	0	277	0	164	0	26	0	0	0	22	0	107	0	0	65	17	0	35	53	0	0	0	0	0	0	0	0	0	0	46
NCBI111501	72	17	17	28	84	38	146	3	66	17	30	16	13	132	22	35	13	2	8	34	5	65	29	106	115	83	125	269	60	0
NCBI1115757	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1115758	21	179	168	163	32	61	53	197	435	37	385	74	579	52	182	940	58	196	142	34	445	707	865	85	33	53	51	43	29	246
NCBI1116375	37	13	2809	17	34	82	21	3196	157	0	3237	7	5931	22	9	42	9	496	1531	44	2673	5895	93	16	68	72	57	37	23	506
NCBI1117645	0	12	0	0	0	9	0	0	68	0	17	67	0	0	0	32	47	0	0	0	27	0	0	11	0	0	0	0	0	19
NCBI111769	0	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI111770	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	3	0	0	0	0	0	0	2	0	0	0	0	0	4
NCBI111781	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1118202	2	0	0	2	2	0	3	0	4	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
NCBI111831	301	41	4	64	0	228	0	10	6	34	4	0	14	26	35	30	0	0	0	163	9	6	11	0	0	87	89	0	99	0
NCBI1118379	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	2	5	1	1	0	0	2	0	0	0	0
NCBI1121358	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI112234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NCBI1124597	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1
NCBI1124835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
NCBI1125966	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1126	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCBI1126833	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1130994	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3
NCBI1130997	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCBI1130998	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	4	1	4	8	1	3	0	0	1	0	0	0	0	1	2
NCBI1130999	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	1
NCBI1131462	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0
NCBI1131610	2	0	0	0	0	0	2	0	2	0	2	0	5	2	0	6	0	8	2	0	5	9	2	0	11	0	5	2	2	0
NCBI1131703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCBI1131707	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCBI1131823	14	57	16	56	21	30	27	28	16	42	26	53	30	18	39	11	46	18	57	53	21	10	1	28	21	42	43	34	60	41
NCBI1131825	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	1
NCBI1131828	3	2	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
NCBI1131829	15000	3766	4271	2808	13361	14190	9137	3558	1371	4583	3814	4564	2003	9215	2877	353	5305	2789	2940	14157	4491	1788	550	9988	8705	13653	10557	8709	17271	5539
NCBI1131830	4	0	0	4	2	1	0	1	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	2	1	1	3	0	2	2
NCBI1131831	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
NCBI1131832	32	6	6	17	28	40	20	3	5	13	7	13	13	19	13	25	6	4	6	30	4	7	17	35	17	28	24	24	20	10
NCBI1131833	16	16	2	6	10	4	7	7	3	29	6	21	6	12	12	14	7	5	1	5	5	0	10	9	3	11	10	7	17	16
NCBI113267	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
NCBI1134405	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	2	0	0	0	0	7	1	0	0	0	0	0	0	0	0
NCBI1134435	0	42	43	81	34	12	9	22	16	42	23	23	10	57	52	26	49	4	13	37	27	19	0	0	15	52	7	47	11	23
NCBI1134687	0	0	26	0	0	145	0	0	0	54	0	0	51	0	0	3603	0	0	0	0	0	62	0	0	0	0	0	0	0	0
NCBI113562	0	1	0	1	2	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0
NCBI1136432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NCBI1136941	0	0	0	0	0	0	44	28	11	0	0	0	17	50	14	0	13	23	18	0	0	13	0	52	0	0	0	0	0	15
NCBI1138189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1138190	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
NCBI1138383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
NCBI114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI114090	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1144748	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2
NCBI1145241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	97	0	0	0	0	0	0	0
NCBI114527	0	0	0	0	0	0	0	0	3	0	0	5	7	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0
NCBI114616	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
NCBI114795	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	0	0	283	299	581	541	1012	684	205
NCBI114798	5639	492	0	581	1495	1543	0	0	421	0	228	0	0	1269	0	0	0	0	0	1588	0	0	0	899	1791	1745	2579	0	0	0
NCBI1148157	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1149952	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1150389	0	2	0	0	0	0	1	0	0	0	3	16	3	0	0	0	20	0	0	1	0	3	14	0	1	1	3	1	2	0
NCBI1155384	0	0	0	0	0	0	0	0	0	0	0	0	13	147	0	0	36	0	0	0	0	8	0	0	0	0	0	0	0	0
NCBI1155388	0	0	0	0	0	0	0	0	0	13	0	24	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	25	0
NCBI115553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NCBI115555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
NCBI115561	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	6	0	0	0	0	33	0	0	0	0	0	0	0	0
NCBI1155739	1	3	2	3	1	1	1	0	0	4	1	0	0	1	2	224	1	0	0	0	3	0	1	1	1	1	0	1	0	0
NCBI1156431	67	30	8	10	75	59	157	0	25	13	22	16	5	133	20	7	0	0	0	75	0	33	15	169	149	94	188	135	77	0
NCBI115647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI115808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1160721	20	18	18	42	0	0	33	6	0	56	13	30	17	0	53	126	0	25	0	0	5	22	10	15	0	0	0	0	0	0
NCBI116085	385	9	0	3	0	5	11	0	0	0	0	0	0	0	84	73	0	0	3	0	5	7	7	0	0	0	0	13	8	0
NCBI116092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCBI1161942	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0
NCBI1164002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1165	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3
NCBI1166950	3	3	3	0	1	1	0	0	0	0	0	1	0	3	0	0	2	0	1	0	3	0	0	0	4	1	3	2	2	1
NCBI1168034	296	155	93	296	265	272	252	145	299	158	684	192	325	325	97	470	132	187	126	280	158	476	323	322	432	353	302	240	317	348
NCBI1169025	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1170699	102	17	6	21	94	97	60	3	27	37	57	37	34	68	25	32	46	8	6	98	7	37	73	85	69	85	102	112	163	19
NCBI117207	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
NCBI1173025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1173026	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
NCBI1173032	2	0	0	0	0	0	0	0	4	8	0	1	1	0	0	0	5	0	0	4	0	0	2	1	5	0	0	1	3	0
NCBI1173586	1	7	4	12	1	7	0	3	12	6	4	25	15	1	5	4	15	0	0	1	4	7	7	0	0	2	2	0	0	0
NCBI1173618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NCBI117567	6	44	106	31	169	13	60	181	25	60	225	61	141	11	32	77	45	80	222	39	107	50	25	25	45	45	174	6	32	126
NCBI1176198	0	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0
NCBI1176257	0	14	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	43	0	0	0
NCBI1176482	0	4	49	0	0	0	0	0	0	3	66	2	18	0	2	0	7	26	3	0	16	44	0	0	0	0	6	8	0	19
NCBI1176533	0	0	0	0	13	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
NCBI1176536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
