ID	Group
CK11	CK
CK12	CK
CK13	CK
DA11	DA
DA12	DA
DA13	DA
A11	AOM
A12	AOM
A13	AOM
AD11	AD
AD12	AD
AD13	AD
CK21	CK
CK22	CK
CK23	CK
DA21	DA
DA22	DA
DA23	DA
A21	AOM
A22	AOM
A23	AOM
AD21	AD
AD22	AD
AD23	AD
